company_name,building_name,raw_address
Mid America Apartments,MAA City Grand,"608 McCullough Drive, Charlotte, NC 28262"
Mid America Apartments,MAA University Lake,"9401 Grove Hill Drive, Charlotte, NC 28262"
Mid America Apartments,MAA 1225,"1225 S Church Street, Charlotte, NC 28203"
Mid America Apartments,MAA Gateway,"735 W 5th St, Charlotte, NC 28202"
Mid America Apartments,MAA Optimist Park,"525 E 21 st St., Charlotte, NC "
Mid America Apartments,MAA Uptown,"305 N. Graham Street, Charlotte, NC 28202"
Mid America Apartments,MAA Reserve,"2720 South Boulevard, Charlotte, NC 28209"
Mid America Apartments,MAA Enclave,"710 East 7th Street, Suite 126, Charlotte, NC 28202"
Mid America Apartments,MAA Chancellor Park,"8215 University Ridge, Charlotte, NC 28213"
Mid America Apartments,MAA LoSo,"4015 Craft St, Charlotte, NC 28217"
Mid America Apartments,MAA Ayrsley,"9005 Lenox Pointe Drive, Charlotte, NC 28273"
Mid America Apartments,MAA Huntersville,"9721 Rose Commons Drive, Huntersville, NC 28078"
Mid America Apartments,MAA Prosperity Creek,"3025 Mallard Hill Drive, Charlotte, NC 28269"
Mid America Apartments,MAA Ballantyne,"14205 Ballantyne Lake Road, Charlotte, NC 28277"
Mid America Apartments,MAA Fifty-One,"1301 Crescent Lane, Matthews, NC 28105"
Mid America Apartments,MAA Legacy Park,"8810 Legacy Park Drive, Charlotte, NC 28269"
Mid America Apartments,MAA South Park,"4835 Cameron Valley Pkwy., Charlotte, NC 28210"
Mid America Apartments,MAA Beverly Crest,"7201 Shannopin Drive, Charlotte, NC 28270"
Mid America Apartments,MAA South Line,"222 East Bland Street, Charlotte, NC 28203"
Mid America Apartments,MAA Matthews Commons,"905 Matthews Commons Drive, Matthews, NC 28105"
Mid America Apartments,MAA Cornelius,"19401 Carrington Club Drive, Cornelius, NC 28031"
Mid America Apartments,MAA Nixie,"1250 Hitchings Way, Durham, NC 27703"
Mid America Apartments,MAA Patterson,"100 North Creek Drive, Durham, NC 27707"
Mid America Apartments,MAA Research Park,"400 Stone Lion Drive, Durham, NC 27703"
Mid America Apartments,MAA Duke Forest,"910 Constitution Drive, Durham, NC 27705"
Mid America Apartments,MAA Vale,"4710 Mint Leaf Ln, Raleigh, NC 27612"
Mid America Apartments,MAA Beaver Creek,"1000 Creekside Hills Drive, Apex, NC 27502"
Mid America Apartments,MAA Trinity,"1140 Trinity Pine Lane, Raleigh, NC 27607"
Mid America Apartments,MAA Crabtree,"3300 Grove at Crabtree Crescent, Raleigh, NC 27613"
Mid America Apartments,MAA Wade Park,"5443 Wade Park Blvd., Raleigh, NC 27607"
Mid America Apartments,MAA Arringdon,"5710 Arringdon Park Drive, Morrisville, NC 27560"
Mid America Apartments,MAA Hue,"300 West Hargett Street, Raleigh, NC 27601"
Mid America Apartments,MAA Providence,"10100 Donerail Way, Raleigh, NC 27617"
Mid America Apartments,MAA Brierdale,"10210 Hillston Ridge Road, Raleigh, NC 27617"
Mid America Apartments,MAA 900 Waterford,"900 Waterford Forest Circle, Cary, NC 27513"
Mid America Apartments,MAA Preserve,"8400 Brass Mill Lane, Raleigh, NC 27617"
Mid America Apartments,MAA Hermitage,"100 Hempstead Court, Cary, NC 27513"
Mid America Apartments,MAA Brier Falls,"10200 Crichton Street, Raleigh, NC 27617"
Mid America Apartments,MAA Waters Edge,"9989 Dorchester Road, Summerville, SC 29485"
Mid America Apartments,MAA Commerce Park,"3785 Ladson Road, Ladson, SC 29456"
Mid America Apartments,MAA 1201 Midtown,"1201 Central Haven Drive, Mt. Pleasant, SC 29464"
Mid America Apartments,MAA Rivers Walk,"301 Seaport Lane, Mt. Pleasant, SC 29464"
Mid America Apartments,MAA Farm Springs,"2100 Farm Springs Road, Summerville, SC 29483"
Mid America Apartments,MAA Crowfield,"101 Bridgetown Road, Goose Creek, SC 29445"
Mid America Apartments,MAA James Island,"550 Harbor Cove Lane, Charleston, SC 29412"
Mid America Apartments,MAA Westchase,"1 Westchase Drive, Charleston, SC 29407"
Mid America Apartments,MAA Hampton Pointe,"1916 Sam Rittenberg Blvd, Charleston, SC 29407"
Mid America Apartments,MAA Runaway Bay,"800 Runaway Bay Lane, Mt Pleasant, SC 29464"
Mid America Apartments,MAA Cypress Cove,"3590 Mary Ader Avenue, Charleston, SC 29414"
Mid America Apartments,The Paddock Club Columbia,"4824 Smallwood Rd., Columbia, SC 29223"
Mid America Apartments,The Fairways,"350 Powell Road, Columbia, SC 29203"
Mid America Apartments,MAA Spring Creek,"10 Capewood Road, Simpsonville, SC 29680"
Mid America Apartments,MAA Innovation,"75 Innovation Drive, Greenville, SC 29607"
Mid America Apartments,MAA Howell Commons,"150 Howell Circle, Greenville, SC 29615"
Mid America Apartments,MAA Park Place,"110 Southport Road, Spartanburg, SC 29306"
Mid America Apartments,MAA Haywood,"245 Congaree Road, Greenville, SC 29607"
Mid America Apartments,MAA Highland Ridge,"3549 Rutherford Road, Taylors, SC 29687"
Mid America Apartments,MAA Greene,"1108 South Main Street, Greenville, SC 29601"
Mid America Apartments,MAA Paddock Club,"50 Rocky Creek Road, Greenville, SC 29615"
Mid America Apartments,MAA Tanglewood,"2418 Marchbanks Ave., Anderson, SC 29621"
